infeatures,outfeatures,weight_type,batch_size,seq_len,tput,num_tokens
4096,12288,fp16,1,1,4607.217763361972,1
4096,12288,fp16,4,1,19328.86127816406,4
4096,12288,fp16,8,1,38498.14457037204,8
4096,12288,fp16,16,1,72198.86221767109,16
4096,12288,fp16,32,1,120738.69891965365,32
4096,12288,fp16,48,1,205893.5225259993,48
4096,12288,fp16,64,1,258212.5853249282,64
4096,12288,fp16,1,16,72144.92349589233,16
4096,12288,fp16,1,64,259346.5655487891,64
4096,12288,fp16,1,128,473090.5293765748,128
4096,12288,fp16,1,256,538310.2550019596,256
4096,12288,fp16,1,512,655376.8657302025,512
4096,12288,fp16,1,1024,580166.6165662981,1024
4096,12288,fp16,1,2048,622063.8582096369,2048
4096,12288,fp16,1,4096,650522.107161212,4096
4096,12288,fp16,1,8192,670443.4621600263,8192
4096,12288,marlin,1,1,17650.072521500533,1
4096,12288,marlin,4,1,70611.5819337978,4
4096,12288,marlin,8,1,141169.8475633605,8
4096,12288,marlin,16,1,281754.53118028806,16
4096,12288,marlin,32,1,524850.261655363,32
4096,12288,marlin,48,1,562267.9454298024,48
4096,12288,marlin,64,1,579283.9178952485,64
4096,12288,marlin,1,16,281209.2383919861,16
4096,12288,marlin,1,64,578908.0531378364,64
4096,12288,marlin,1,128,578729.855708636,128
4096,12288,marlin,1,256,576981.4330124024,256
4096,12288,marlin,1,512,576760.812685786,512
4096,12288,marlin,1,1024,576768.8633915368,1024
4096,12288,marlin,1,2048,576824.0656052033,2048
4096,12288,marlin,1,4096,576785.7034513562,4096
4096,12288,marlin,1,8192,576825.1539120931,8192
4096,6144,fp16,1,1,9273.750163663179,1
4096,6144,fp16,4,1,37985.10296623,4
4096,6144,fp16,8,1,75969.91447423105,8
4096,6144,fp16,16,1,120249.18279160617,16
4096,6144,fp16,32,1,260261.09394571607,32
4096,6144,fp16,48,1,392473.18683499587,48
4096,6144,fp16,64,1,514487.80578482064,64
4096,6144,fp16,1,16,120210.02313871693,16
4096,6144,fp16,1,64,513210.48287816514,64
4096,6144,fp16,1,128,887315.5982289421,128
4096,6144,fp16,1,256,1151751.834335669,256
4096,6144,fp16,1,512,1117074.8289004092,512
4096,6144,fp16,1,1024,1042922.0507722935,1024
4096,6144,fp16,1,2048,1236617.3039873312,2048
4096,6144,fp16,1,4096,1268226.4679360315,4096
4096,6144,fp16,1,8192,1302395.960853419,8192
4096,6144,marlin,1,1,32374.16694671842,1
4096,6144,marlin,4,1,129677.92865447915,4
4096,6144,marlin,8,1,259246.32646816818,8
4096,6144,marlin,16,1,516416.9680353574,16
4096,6144,marlin,32,1,890104.6407847954,32
4096,6144,marlin,48,1,985934.9964180052,48
4096,6144,marlin,64,1,1029676.6584904959,64
4096,6144,marlin,1,16,515531.73053836427,16
4096,6144,marlin,1,64,1028814.9031348864,64
4096,6144,marlin,1,128,1024602.8435245237,128
4096,6144,marlin,1,256,1013745.2892165427,256
4096,6144,marlin,1,512,1008976.582853435,512
4096,6144,marlin,1,1024,1009517.7839455943,1024
4096,6144,marlin,1,2048,1010315.3273858486,2048
4096,6144,marlin,1,4096,1009771.6340606759,4096
4096,6144,marlin,1,8192,1010322.2804571626,8192
5120,15360,fp16,1,1,2982.886642116416,1
5120,15360,fp16,4,1,11890.198640838995,4
5120,15360,fp16,8,1,23721.73212875155,8
5120,15360,fp16,16,1,46910.58122233123,16
5120,15360,fp16,32,1,91080.38905705287,32
5120,15360,fp16,48,1,128146.63368217016,48
5120,15360,fp16,64,1,169582.87589258887,64
5120,15360,fp16,1,16,46817.452161559224,16
5120,15360,fp16,1,64,169247.16854923635,64
5120,15360,fp16,1,128,282209.250601339,128
5120,15360,fp16,1,256,406381.5562563727,256
5120,15360,fp16,1,512,431173.7466807373,512
5120,15360,fp16,1,1024,387276.64223387156,1024
5120,15360,fp16,1,2048,412721.1650146098,2048
5120,15360,fp16,1,4096,424857.2352833943,4096
5120,15360,fp16,1,8192,435491.8073442964,8192
5120,15360,marlin,1,1,11842.767007373679,1
5120,15360,marlin,4,1,47430.70992549276,4
5120,15360,marlin,8,1,94836.84348868158,8
5120,15360,marlin,16,1,189222.12982134978,16
5120,15360,marlin,32,1,357639.6409567565,32
5120,15360,marlin,48,1,390492.1808598319,48
5120,15360,marlin,64,1,399849.5875809201,64
5120,15360,marlin,1,16,189331.64686211786,16
5120,15360,marlin,1,64,400189.3295717837,64
5120,15360,marlin,1,128,399619.67820527725,128
5120,15360,marlin,1,256,399251.07734319835,256
