infeatures,outfeatures,weight_type,batch_size,seq_len,tput,num_tokens
4096,12288,fp16,1,1,14784.596305046545,1
4096,12288,fp16,4,1,60699.693744027674,4
4096,12288,fp16,8,1,121008.49874831832,8
4096,12288,fp16,16,1,240624.50528970198,16
4096,12288,fp16,32,1,478432.30460694403,32
4096,12288,fp16,48,1,706518.3222842676,48
4096,12288,fp16,64,1,943117.1671591608,64
4096,12288,fp16,1,16,240655.4249837889,16
4096,12288,fp16,1,64,938957.8924132015,64
4096,12288,fp16,1,128,1701285.7267095665,128
4096,12288,fp16,1,256,2350479.6325984364,256
4096,12288,fp16,1,512,2462922.363571483,512
4096,12288,fp16,1,1024,2506710.904477081,1024
4096,12288,fp16,1,2048,2427033.857852707,2048
4096,12288,fp16,1,4096,2521023.236498734,4096
4096,12288,fp16,1,8192,2566110.822433072,8192
4096,12288,marlin,1,1,28731.128085635617,1
4096,12288,marlin,4,1,113125.52859605187,4
4096,12288,marlin,8,1,255264.41454855702,8
4096,12288,marlin,16,1,518002.7702583756,16
4096,12288,marlin,32,1,1038875.038281975,32
4096,12288,marlin,48,1,1544984.9005859452,48
4096,12288,marlin,64,1,2124813.0877683745,64
4096,12288,marlin,1,16,510686.85630977113,16
4096,12288,marlin,1,64,2058708.248056685,64
4096,12288,marlin,1,128,2489441.5109301573,128
4096,12288,marlin,1,256,2991050.065314733,256
4096,12288,marlin,1,512,3229501.5775559186,512
4096,12288,marlin,1,1024,3145808.957833461,1024
4096,12288,marlin,1,2048,2982838.628279519,2048
4096,12288,marlin,1,4096,3296134.1207364635,4096
4096,12288,marlin,1,8192,3438524.7854074603,8192
4096,6144,fp16,1,1,27808.186879638513,1
4096,6144,fp16,4,1,111696.41022484322,4
4096,6144,fp16,8,1,221681.1539420072,8
4096,6144,fp16,16,1,439709.249751323,16
4096,6144,fp16,32,1,838424.335437484,32
4096,6144,fp16,48,1,1276690.2774734197,48
4096,6144,fp16,64,1,1705535.014587596,64
4096,6144,fp16,1,16,439249.85149017704,16
4096,6144,fp16,1,64,1704221.722496757,64
4096,6144,fp16,1,128,2993909.591910347,128
4096,6144,fp16,1,256,3401296.508163383,256
4096,6144,fp16,1,512,3887640.005227583,512
4096,6144,fp16,1,1024,4962672.512344573,1024
4096,6144,fp16,1,2048,5101105.987986954,2048
4096,6144,fp16,1,4096,4862084.608016851,4096
4096,6144,fp16,1,8192,5043133.116662807,8192
4096,6144,marlin,1,1,36945.84961695076,1
4096,6144,marlin,4,1,149429.99350022743,4
4096,6144,marlin,8,1,302374.305394274,8
4096,6144,marlin,16,1,606908.8669333895,16
4096,6144,marlin,32,1,1209043.1165868843,32
4096,6144,marlin,48,1,1835106.5470920792,48
4096,6144,marlin,64,1,2541652.2294076947,64
4096,6144,marlin,1,16,584214.6512362928,16
4096,6144,marlin,1,64,2355128.8473692597,64
4096,6144,marlin,1,128,3028321.287680925,128
4096,6144,marlin,1,256,3546461.9841709365,256
4096,6144,marlin,1,512,4077745.2396254856,512
4096,6144,marlin,1,1024,4322358.618640096,1024
4096,6144,marlin,1,2048,4422216.959599882,2048
4096,6144,marlin,1,4096,4199558.926763231,4096
4096,6144,marlin,1,8192,4322073.344049066,8192
5120,15360,fp16,1,1,9436.160693699054,1
5120,15360,fp16,4,1,37449.549756461885,4
5120,15360,fp16,8,1,72782.05459012918,8
5120,15360,fp16,16,1,142332.8377353919,16
5120,15360,fp16,32,1,298511.4508244456,32
5120,15360,fp16,48,1,444819.29778776184,48
5120,15360,fp16,64,1,588395.9024080436,64
5120,15360,fp16,1,16,142237.74571649655,16
5120,15360,fp16,1,64,585233.8192690633,64
5120,15360,fp16,1,128,608656.8647222323,128
5120,15360,fp16,1,256,1270576.578095124,256
5120,15360,fp16,1,512,1290527.9105363658,512
5120,15360,fp16,1,1024,1611140.3102323536,1024
5120,15360,fp16,1,2048,1805599.4923487138,2048
5120,15360,fp16,1,4096,1814074.4252967455,4096
5120,15360,fp16,1,8192,1811520.241574109,8192
5120,15360,marlin,1,1,48534.46423375858,1
5120,15360,marlin,4,1,193695.35469497144,4
5120,15360,marlin,8,1,388700.38838646613,8
5120,15360,marlin,16,1,738498.3315658096,16
5120,15360,marlin,32,1,1561883.5975898814,32
5120,15360,marlin,48,1,2321582.885157723,48
5120,15360,marlin,64,1,3204752.760361608,64
5120,15360,marlin,1,16,778362.2298754836,16
5120,15360,marlin,1,64,3201720.7626447324,64
5120,15360,marlin,1,128,4323851.62559416,128
5120,15360,marlin,1,256,5498057.895161239,256
5120,15360,marlin,1,512,6232202.087223957,512
5120,15360,marlin,1,1024,6660097.364965947,1024
5120,15360,marlin,1,2048,7030934.170617774,2048
5120,15360,marlin,1,4096,7312396.661340974,4096
5120,15360,marlin,1,8192,7452224.425584784,8192
5120,7168,fp16,1,1,19301.468654641296,1
5120,7168,fp16,4,1,72374.63324860066,4
5120,7168,fp16,8,1,142295.28585481533,8
5120,7168,fp16,16,1,292680.43654347805,16
5120,7168,fp16,32,1,601560.5797326759,32
5120,7168,fp16,48,1,888671.0065370303,48
5120,7168,fp16,64,1,1166671.3616258537,64
5120,7168,fp16,1,16,292850.1978218522,16
5120,7168,fp16,1,64,1157835.5652696295,64
5120,7168,fp16,1,128,1785047.8309969914,128
5120,7168,fp16,1,256,1302193.9755055658,256
5120,7168,fp16,1,512,2097548.517707166,512
5120,7168,fp16,1,1024,3143498.7437833077,1024
5120,7168,fp16,1,2048,3441227.753452372,2048
5120,7168,fp16,1,4096,3634058.138700627,4096
5120,7168,fp16,1,8192,3798837.86974267,8192
5120,7168,marlin,1,1,32434.40062293531,1
5120,7168,marlin,4,1,120450.42629147577,4
5120,7168,marlin,8,1,217702.59598377813,8
5120,7168,marlin,16,1,445267.5784382468,16
5120,7168,marlin,32,1,930525.0919406088,32
5120,7168,marlin,48,1,1403816.318586006,48
5120,7168,marlin,64,1,2111141.2208729307,64
5120,7168,marlin,1,16,516836.1143428813,16
5120,7168,marlin,1,64,2101557.228121509,64
5120,7168,marlin,1,128,2672790.195853692,128
